Dbxref=GeneID:114872023,Genbank:XP_029034703.1
Dbxref=GeneID:114872023,Genbank:XP_029034624.1
Dbxref=GeneID:114872023,Genbank:XP_029034790.1
Dbxref=GeneID:114872363,Genbank:XP_029035515.1
Dbxref=GeneID:114872363,Genbank:XP_029035428.1
Dbxref=GeneID:114872363,Genbank:XP_029035351.1
Dbxref=GeneID:114876854,Genbank:XP_029044601.1
Dbxref=GeneID:114876854,Genbank:XP_029044865.1
Dbxref=GeneID:114876854,Genbank:XP_029044690.1
Dbxref=GeneID:114876854,Genbank:XP_029044950.1
Dbxref=GeneID:114876854,Genbank:XP_029045035.1
Dbxref=GeneID:114876854,Genbank:XP_029044781.1
Dbxref=GeneID:114874651,Genbank:XP_029040018.1
Dbxref=GeneID:114874591,Genbank:XP_029039887.1
Dbxref=GeneID:114882671,Genbank:XP_029055425.1
Dbxref=GeneID:114882671,Genbank:XP_029055415.1
Dbxref=GeneID:114882671,Genbank:XP_029055410.1
Dbxref=GeneID:114882671,Genbank:XP_029055455.1
Dbxref=GeneID:114882671,Genbank:XP_029055444.1
Dbxref=GeneID:114882671,Genbank:XP_029055436.1
Dbxref=GeneID:114882735,Genbank:XP_029055540.1
Dbxref=GeneID:114882727,Genbank:XP_029055528.1
Dbxref=GeneID:114882714,Genbank:XP_029055507.1
Dbxref=GeneID:114882714,Genbank:XP_029055516.1
Dbxref=GeneID:114882696,Genbank:XP_029055468.1
Dbxref=GeneID:114882696,Genbank:XP_029055476.1
Dbxref=GeneID:114882696,Genbank:XP_029055494.1
Dbxref=GeneID:114882696,Genbank:XP_029055485.1
Dbxref=GeneID:114875813,Genbank:XP_029042493.1
Dbxref=GeneID:114875813,Genbank:XP_029042407.1
Dbxref=GeneID:114875653,Genbank:XP_029042150.1
Dbxref=GeneID:114875653,Genbank:XP_029042060.1
Dbxref=GeneID:114875754,Genbank:XP_029042279.1
Dbxref=GeneID:114876262,Genbank:XP_029043395.1
Dbxref=GeneID:114882860,Genbank:XP_029055811.1
Dbxref=GeneID:114882860,Genbank:XP_029055848.1
Dbxref=GeneID:114882860,Genbank:XP_029055872.1
Dbxref=GeneID:114882860,Genbank:XP_029055909.1
Dbxref=GeneID:114882860,Genbank:XP_029055830.1
Dbxref=GeneID:114882860,Genbank:XP_029055891.1
Dbxref=GeneID:114882860,Genbank:XP_029055900.1
Dbxref=GeneID:114882860,Genbank:XP_029055925.1
Dbxref=GeneID:114882860,Genbank:XP_029055934.1
Dbxref=GeneID:114882860,Genbank:XP_029055838.1
Dbxref=GeneID:114882860,Genbank:XP_029055821.1
Dbxref=GeneID:114882860,Genbank:XP_029055856.1
Dbxref=GeneID:114882860,Genbank:XP_029055918.1
Dbxref=GeneID:114882860,Genbank:XP_029055880.1
